sex_new_0,sex_new_1,blood_group_new_0,blood_group_new_1,blood_group_new_2,blood_group_new_3,blood_group_new_4,blood_group_new_5,blood_group_new_6,blood_group_new_7,blood_group,username,name,sex,address,mail,Age,Body_Weight,Body_Height,Cal_Need,User_ID,sex_new,blood_group_new
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,O+,nsanders,Paul Sherman,M,"524 Haley Unions
New Raymondchester, SC 86398",nowens@hotmail.com,22,54.09494,160.3287,1869.114,UNT001,1,6
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,A+,jamesharmon,Cheryl Porter,F,"33835 Nicole Track Apt. 919
Lesliechester, WY 07772",robert92@yahoo.com,26,61.26804,154.7895,1899.845,UNT002,0,0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,AB-,danielking,Michele Guzman,F,"PSC 0253, Box 3634
APO AA 71494",luis74@gmail.com,20,50.87571,156.6387,1827.612,UNT003,0,3
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,A-,harrisshelby,Jennifer Bennett,F,"8488 Jonathan Streets Apt. 333
Lake Jamie, SD 40429",leonardpatricia@yahoo.com,22,53.67519,155.5599,1696.03,UNT004,0,1
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O-,james44,Richard Lynch,M,"4109 Hoffman Plains
South Jessica, IL 44462",gabriella33@yahoo.com,22,52.09511,157.3776,1920.971,UNT005,1,7
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,A+,pmcclain,Gary Reed,M,"04457 Becker Port Suite 455
West Emilyhaven, FL 04199",cherylfreeman@hotmail.com,28,55.96167,160.5099,1732.583,UNT006,1,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,AB+,kimberly04,Joseph Wright,M,"37320 Tonya Forge
North Samantha, TN 16462",ctorres@hotmail.com,25,55.1543,158.3444,1922.418,UNT007,1,2
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,B+,stacy00,Joseph Garner,M,"5056 Gray Freeway Apt. 784
South Laura, FM 65767",angela92@yahoo.com,27,55.73129,150.9262,1755.668,UNT008,1,4
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,B-,dwalker,Nancy Green,F,"2236 Jill Road
Andrewtown, WI 25745",gillespieaaron@gmail.com,36,58.79932,152.5623,2022.378,UNT009,0,5
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,B+,jmoore,Daniel Pena,M,"7258 Hill Estate Apt. 904
Jenniferbury, AR 52136",meganhall@gmail.com,25,59.64402,149.7687,1869.237,UNT010,1,4
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,O-,joshua75,David Young,M,"31256 Julie Views Apt. 294
Sullivantown, AL 29553",victoriagriffin@gmail.com,19,64.14856,154.866,1981.849,UNT011,1,7
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,A-,kimberly01,Desiree Rodriguez,F,"034 Jonathon Road Apt. 717
Yorkburgh, HI 59762",porterjennifer@hotmail.com,28,58.3468,158.6863,1588.823,UNT012,0,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,A-,christine07,Gregory Evans,M,"811 Kelly Trace
Melissaview, IL 76715",quinnanna@hotmail.com,18,59.27345,153.631,1713.752,UNT013,1,1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,O+,millerapril,Katie Peters,F,"520 Garner Avenue
East Jonathan, MS 78359",iberry@yahoo.com,26,57.34876,156.7801,2120.844,UNT014,0,6
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,AB+,ubrown,Kelsey Hansen,F,"772 Rose Villages
West Nicholas, TX 53938",westpamela@gmail.com,35,58.37852,155.1531,1651.678,UNT015,0,2
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,B+,williamsonkatie,Deborah Smith,F,"18393 Hess Walk Apt. 346
New Paulfort, WI 87192",mcox@hotmail.com,26,52.21554,149.3569,2115.935,UNT016,0,4
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,A+,julia88,Kristin Hoffman,F,"396 Justin Ford Apt. 519
Lake Donaldmouth, NJ 40984",mooremark@gmail.com,11,52.28473,155.897,1966.338,UNT017,0,0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,AB-,frychristopher,Amber Taylor,F,"223 Fuller Fords Suite 218
Priceland, KY 46774",christinethompson@yahoo.com,24,54.46944,154.1124,1892.266,UNT018,0,3
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,AB+,josephhanson,Mr. Patrick Howard,M,"Unit 1834 Box 5676
DPO AE 03018",sharonjones@hotmail.com,31,56.77282,153.5722,2100.403,UNT019,1,2
